Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
143,-0.008759,0.009805,0.006078,0.015229,-0.00125,-0.00162,0.007314,0.017271,0.015524,0.340429,0.002715,0.503321,0.001431,0.69893,0.03468
144,-0.001111,0.004473,0.006724,0.021858,-0.000312,0.000598,0.005908,0.019879,0.016871,0.334772,0.003923,0.599879,0.001785,0.71636,0.03661
147,-0.006841,0.014017,-0.003051,-5e-06,-0.000992,-0.000133,0.006024,0.00885,0.0123,0.268938,0.001693,0.470192,0.000623,0.664268,0.034047
149,-0.000618,0.003521,0.001895,0.016019,-0.000254,0.000543,0.004074,0.016218,0.015613,0.338067,0.004216,0.570219,0.001599,0.696325,0.038475
150,-0.001657,0.01093,0.002849,0.015929,-0.000354,0.001562,0.007008,0.016545,0.01561,0.321629,0.004001,0.553891,0.000942,0.706722,0.035886
151,-0.012987,0.005702,-0.000387,-0.002641,-0.001798,-0.00432,0.003572,0.008619,0.011813,0.256048,0.002025,0.425512,0.002256,0.642299,0.036118
152,-0.011084,0.010422,-0.004362,0.004577,-0.00154,-0.002656,0.004216,0.010111,0.013201,0.275033,0.002137,0.461633,0.001131,0.660306,0.035595
153,-0.001289,0.007299,0.004727,0.008035,-0.000322,0.001041,0.006202,0.014166,0.014051,0.315441,0.003339,0.534492,0.000795,0.686938,0.03649
154,-0.004911,0.012115,0.002616,0.014414,-0.000757,0.000408,0.007238,0.015923,0.015301,0.360068,0.00254,0.52609,0.000908,0.699197,0.034448
155,-0.009208,0.011288,0.002535,0.012841,-0.0013,-0.001579,0.006747,0.015307,0.014983,0.340453,0.002435,0.499439,0.001113,0.691518,0.03469
157,-0.004568,0.01309,0.003493,0.010892,-0.00071,0.000757,0.007837,0.014896,0.014606,0.335813,0.002242,0.515967,0.000754,0.694496,0.033759
158,0.002096,0.009951,0.005768,0.011894,0.000114,0.003012,0.007631,0.015941,0.014846,0.341715,0.003767,0.557329,0.000935,0.705077,0.03672
160,-0.014922,0.018665,0.002015,-0.002127,-0.001987,-0.002576,0.008929,0.009666,0.011957,0.232821,0.002077,0.417862,0.002641,0.659867,0.032859
161,0.008481,0.008313,0.00692,0.009758,0.000908,0.005422,0.007594,0.01549,0.014435,0.37053,0.00376,0.565396,0.001744,0.6833,0.044367
162,-0.002399,0.006974,0.000487,0.017256,-0.000463,0.000437,0.004848,0.016274,0.015838,0.328532,0.004119,0.5616,0.001052,0.702051,0.037308
