#sample number,P,I,overshoot,t5%
863,1.82E+02,8.26E+02,1.59E-02,1.92E-01
864,1.61E+02,7.45E+02,0.00E+00,2.16E-01
865,1.62E+02,7.87E+02,9.37E-03,2.15E-01
866,1.62E+02,7.98E+02,1.30E-02,2.15E-01
867,1.62E+02,7.46E+02,0.00E+00,2.15E-01
868,1.74E+02,7.87E+02,4.90E-03,2.01E-01
869,1.74E+02,8.17E+02,1.51E-02,2.02E-01
870,1.92E+02,9.06E+02,3.89E-02,1.82E-01
871,2.00E+02,9.21E+02,4.16E-02,1.74E-01
872,1.92E+02,8.73E+02,2.88E-02,1.80E-01
873,1.75E+02,8.46E+02,2.45E-02,2.03E-01
874,1.91E+02,8.71E+02,2.84E-02,1.83E-01
875,1.62E+02,8.22E+02,2.15E-02,2.01E-01
876,2.00E+02,9.17E+02,4.04E-02,1.74E-01
877,1.74E+02,7.87E+02,4.92E-03,2.01E-01
878,2.01E+02,9.33E+02,4.49E-02,1.74E-01
879,1.91E+02,8.73E+02,2.89E-02,1.79E-01
880,1.27E+02,8.18E+02,4.84E-02,2.27E-01
881,2.01E+02,9.33E+02,4.45E-02,1.58E-01
882,1.82E+02,9.19E+02,4.56E-02,1.83E-01
883,1.62E+02,8.05E+02,1.58E-02,2.15E-01
884,1.91E+02,8.73E+02,2.89E-02,1.79E-01
885,1.91E+02,8.73E+02,2.89E-02,1.79E-01
886,1.62E+02,7.68E+02,1.79E-03,2.17E-01
887,1.41E+02,8.45E+02,4.48E-02,2.19E-01
888,2.02E+02,9.34E+02,4.47E-02,1.57E-01
889,1.74E+02,8.44E+02,2.41E-02,2.03E-01
890,1.62E+02,7.82E+02,7.33E-03,2.15E-01
891,1.23E+02,7.55E+02,2.68E-02,2.47E-01
892,2.02E+02,9.29E+02,4.32E-02,1.79E-01
893,1.91E+02,9.34E+02,4.73E-02,1.78E-01
894,2.00E+02,9.34E+02,4.55E-02,1.74E-01
895,2.00E+02,9.34E+02,4.53E-02,1.59E-01
896,1.74E+02,7.87E+02,4.90E-03,2.01E-01
897,1.28E+02,7.39E+02,1.43E-02,2.51E-01
898,1.62E+02,7.29E+02,0.00E+00,2.27E-01
899,1.62E+02,8.83E+02,4.32E-02,2.03E-01
900,1.57E+02,7.46E+02,0.00E+00,2.31E-01
901,1.91E+02,9.19E+02,4.27E-02,1.78E-01
902,1.48E+02,7.87E+02,1.67E-02,2.25E-01
903,1.31E+02,7.46E+02,1.38E-02,2.39E-01
904,1.91E+02,8.73E+02,2.89E-02,1.79E-01
905,1.62E+02,7.46E+02,0.00E+00,2.15E-01
906,1.75E+02,8.46E+02,2.44E-02,1.85E-01
907,2.00E+02,9.16E+02,4.01E-02,1.74E-01
